sexo,educ,edad,est_civil,profes,horas,IngTotalPrin,IngLiquiPrin,IngTotalSecu,IngLiquiSecun
1,9,30,5,375,48,900,900,100,100
1,8,26,1,766,24,1200,1200,700,700
1,10,46,2,231,36,4850,1844,1755,1755
2,10,30,2,239,48,1400,1400,320,320
1,6,35,1,112,24,680,680,640,640
1,9,21,6,572,30,200,200,30,30
1,9,50,2,766,24,930,810,930,930
1,1,40,1,952,84,1400,1400,140,140
2,6,62,6,572,20,950,950,70,70
2,6,25,6,777,69,215,215,30,30
2,6,45,2,941,48,600,600,300,300
1,6,22,6,335,66,1300,1300,100,100
1,9,30,5,423,48,1300,1140,400,400
1,5,21,6,983,44,300,300,200,200
2,6,44,6,941,18,120,120,720,720
2,6,42,6,941,20,720,720,480,480
2,5,33,1,942,50,230,230,240,240
1,11,56,2,235,42,8000,6160,3800,3800
2,10,56,2,235,35,8000,6160,2000,2000
2,6,27,5,971,24,150,150,350,350
1,7,42,6,861,24,600,600,200,200
1,8,54,1,394,15,1500,1500,850,850
2,3,40,6,941,60,850,850,86,86
1,8,42,5,885,33,210,210,400,400
1,7,24,6,453,44,1000,1000,100,100
1,10,26,6,235,36,4500,4500,693,693
2,10,36,1,235,40,6000,5220,2500,2500
1,6,16,6,983,9,80,80,310,310
1,8,23,1,783,45,2200,1914,210,210
1,7,18,6,983,12,90,90,260,260
1,10,26,6,323,15,400,400,1900,1900
2,3,43,5,941,32,1500,1500,500,500
1,11,46,2,235,66,6500,2820,6000,6000
2,6,42,5,941,48,300,300,200,200
2,6,31,5,942,4,20,20,40,40
1,6,17,6,945,32,150,150,100,100
1,11,51,1,254,40,8000,5500,1500,1300
2,9,22,6,381,20,300,300,500,500
1,10,56,1,235,36,8000,3760,2900,2900
2,10,35,6,241,76,7000,5825,5000,4135
1,6,34,2,983,48,100,100,300,300
2,6,29,2,941,18,150,150,400,400
1,7,24,6,455,24,480,480,120,120
1,1,56,2,971,8,25,25,25,25
1,10,51,3,243,18,2500,1575,240,240
2,5,37,1,942,25,350,350,200,200
2,7,24,6,413,30,600,600,50,50
2,10,56,5,571,40,600,600,900,814
1,6,64,1,971,16,140,140,100,100
2,4,36,5,522,42,900,900,450,450
1,6,27,6,971,24,160,160,200,200
2,3,59,2,112,9,700,700,294,294
1,8,33,1,983,55,450,450,200,200
1,5,48,5,952,48,800,800,930,850
1,9,28,1,941,50,700,700,50,50
2,10,39,5,352,36,5700,5199,930,930
1,6,52,5,423,40,930,809,2000,2000
1,9,23,6,411,56,300,261,120,120
1,5,32,1,885,30,130,130,346,346
1,5,14,6,522,10,10,10,40,40
1,5,43,2,942,48,500,500,1000,1000
2,6,38,2,971,24,300,300,240,240
1,10,43,2,235,48,5500,4345,1000,1000
1,10,23,1,396,7,140,140,1200,1200
2,4,39,1,942,36,180,180,108,108
1,8,24,6,314,50,2000,2000,300,300
2,9,22,6,451,42,190,190,216,216
2,6,29,1,574,48,180,180,90,90
1,6,39,1,971,48,240,240,200,200
1,9,31,1,952,54,515,515,400,400
1,5,49,1,776,55,200,200,600,600
2,9,18,6,244,6,600,600,400,400
2,11,46,2,239,36,2200,1914,2500,2500
2,6,19,6,423,4,100,100,150,150
2,10,28,2,235,12,250,250,500,500
2,6,35,5,942,96,700,700,300,300
2,3,71,3,941,9,80,80,120,120
1,11,55,2,251,40,6000,5050,2500,2200
1,5,30,1,971,10,60,60,300,300
1,6,25,6,885,30,200,200,160,160
1,9,19,6,246,24,200,200,50,50
1,6,41,2,952,60,250,250,157,157
2,4,28,6,941,33,66,66,96,96
1,6,18,6,971,40,240,240,13,13
2,5,15,6,971,36,180,180,60,60
1,1,73,6,952,60,100,100,260,260
2,8,44,1,413,24,800,800,150,150
1,3,63,2,971,16,80,80,173,173
1,3,58,1,761,42,700,700,217,217
1,7,36,6,761,60,1800,1624,250,250
2,6,38,3,522,40,1100,957,600,600
2,11,32,5,263,40,4500,2255,260,260
1,6,37,6,785,15,90,90,100,100
2,6,30,1,942,36,90,90,25,25
1,11,51,2,411,40,3200,2584,400,400
1,5,67,3,983,40,160,160,200,200
2,6,35,5,572,66,200,200,210,210
1,7,31,6,421,24,580,550,800,800
2,8,20,6,572,35,500,500,500,500
2,11,59,5,239,34,4400,1820,1650,1518
1,4,38,2,971,56,1200,1050,100,100
1,6,21,6,762,56,1700,1479,100,100
2,8,27,5,942,8,40,40,210,210
1,10,25,6,229,44,1400,1232,300,300
1,5,44,1,983,48,520,520,420,420
1,4,49,2,971,40,300,300,60,60
1,5,30,1,961,48,1500,1305,1200,1200
2,8,20,6,352,50,240,240,40,40
2,6,33,5,522,25,500,500,400,400
1,3,46,1,983,8,100,100,400,400
1,5,42,5,971,32,100,100,260,260
2,6,20,6,982,24,120,120,150,150
2,10,29,5,238,30,1200,1200,160,160
2,9,26,6,423,40,1200,1200,400,400
2,8,32,1,451,21,500,500,600,600
1,6,23,1,564,84,1694,1486,30,30
2,11,30,5,229,48,2500,2175,1200,1200
1,3,35,6,971,32,75,75,120,120
1,7,18,6,951,24,480,480,200,200
1,3,58,2,571,63,175,175,900,900
2,6,47,5,942,36,1200,1044,600,600
1,6,25,5,945,42,420,420,909,909
2,4,43,5,941,24,240,240,600,600
1,5,29,1,861,48,480,480,930,930
2,6,38,5,971,24,90,90,700,700
1,8,21,6,971,56,1052,915,200,200
2,6,19,1,572,48,300,300,25,25
1,6,26,6,983,50,1300,1100,120,120
1,10,37,5,251,36,2500,1975,1000,1000
2,10,28,6,239,40,5000,3850,210,210
1,9,21,6,421,30,1300,1300,1000,1000
2,10,32,1,419,48,5280,4580,500,500
2,6,20,6,771,58,500,500,180,180
1,10,27,6,394,30,1300,1300,500,500
2,11,39,2,239,36,4200,1640,2200,1914
1,6,21,6,945,16,50,50,60,60
1,6,50,2,23,46,4200,2232,630,630
2,3,38,1,942,42,150,150,30,30
1,9,20,6,381,30,930,822,400,400
1,6,45,6,391,44,1720,1600,140,140
1,6,37,6,564,41,660,660,60,60
2,6,32,1,971,60,600,600,30,30
1,6,36,2,861,24,180,180,90,90
1,6,53,1,952,72,930,810,300,300
2,7,47,1,451,30,200,200,520,520
2,11,41,2,242,35,2500,1875,1200,1200
1,5,21,6,983,48,390,390,180,180
1,8,53,2,562,48,1200,1044,1299,1299
1,7,23,6,523,8,50,50,60,60
2,10,24,6,423,20,500,500,100,100
1,10,34,6,423,40,1200,1200,650,650
1,9,54,1,364,36,300,300,800,800
1,6,27,1,421,27,2400,843,320,320
1,6,57,6,782,40,180,180,120,120
2,6,59,3,941,15,600,600,400,400
2,8,23,1,945,2,200,200,75,75
2,4,57,3,522,8,12,12,40,40
2,5,35,3,931,27,200,200,200,200
1,9,19,6,335,27,500,500,1200,1200
1,11,53,2,241,25,2480,2198,1480,1480
1,10,29,6,236,20,400,400,600,600
2,7,18,6,941,36,700,700,160,160
1,8,26,2,335,84,5500,4410,500,500
2,9,31,5,247,32,1150,1000,150,150
2,9,24,5,523,24,60,60,30,30
1,5,14,6,987,12,60,60,200,200
1,3,20,6,987,21,60,60,200,200
1,6,54,5,23,48,3600,3300,1200,1200
1,11,66,2,112,40,3200,2384,550,478
1,8,62,2,247,50,1300,590,400,400
1,10,55,4,251,20,4320,4000,1050,880
1,7,48,2,395,14,200,200,150,150
1,10,43,2,242,50,2500,1562,600,600
2,8,24,6,356,36,1200,1080,1200,1080
1,10,41,1,411,43,4000,3697,1000,1000
1,11,30,1,268,6,4000,3470,2000,2000
1,6,21,6,983,30,150,150,30,30
1,11,50,2,242,36,2410,2100,1150,1000
2,8,50,1,942,20,509,450,40,40
2,5,19,5,942,24,110,110,100,100
1,7,57,2,423,50,3500,3045,300,300
2,6,29,5,971,16,100,100,40,40
2,6,48,1,375,48,950,950,500,500
1,11,66,2,241,70,7000,5950,3000,2700
1,6,32,6,785,45,400,302,100,100
1,11,54,2,235,40,6000,5400,1200,1200
2,3,28,2,971,24,40,40,45,45
1,6,19,6,951,35,400,400,300,300
1,11,60,2,241,48,6000,5182,2000,1728
2,6,20,6,531,30,200,200,300,300
2,6,49,5,942,48,950,826,150,150
1,8,22,6,983,45,1500,1500,80,80
2,10,28,2,239,40,5000,3950,2000,2000
2,1,51,5,941,20,300,300,173,173
1,11,64,4,241,6,7500,3100,700,602
1,7,21,6,971,15,60,60,50,50
1,10,37,1,241,20,2500,2175,2400,2088
1,11,70,2,572,10,300,300,400,400
1,11,47,2,241,40,2500,2175,500,435
1,9,53,1,23,77,3900,2240,800,800
2,8,36,2,356,42,1500,1305,1500,1500
2,6,51,5,971,30,180,180,130,130
2,6,54,5,961,36,300,300,298,298
1,5,38,1,983,44,1000,1000,400,400
2,9,36,5,413,54,900,900,800,800
2,4,50,2,945,42,1200,1044,1000,1000
2,11,57,2,243,60,2600,2260,1000,1000
1,11,50,1,242,31,3450,1118,1210,1055
1,6,40,6,983,44,280,280,240,240
2,6,44,5,942,24,555,484,500,500
1,5,18,6,782,39,230,230,300,300
1,6,18,6,945,55,200,200,100,100
1,5,25,6,971,24,200,200,180,180
2,11,33,6,423,30,2000,2000,500,500
1,5,34,1,983,49,1160,1160,30,30
2,8,57,3,942,36,1200,1044,216,216
1,8,54,2,243,55,3566,1296,303,303
2,5,39,5,945,32,200,200,40,40
1,6,28,1,572,16,160,160,160,160
2,5,51,6,971,10,90,90,180,180
1,5,48,6,971,24,900,900,600,600
1,5,50,1,864,40,400,400,800,800
1,6,31,1,766,40,2300,2300,180,180
1,5,19,6,961,36,850,850,100,100
1,6,24,6,983,8,30,30,258,258
2,4,14,6,971,14,20,20,50,50
2,11,37,5,243,60,2000,1740,1000,1000
2,9,22,6,413,44,500,500,50,50
1,10,44,2,411,36,3200,2900,500,500
2,7,19,6,572,65,210,210,20,20
1,10,31,6,321,25,700,700,1500,1500
1,9,22,6,782,60,400,400,50,50
2,5,32,1,941,40,790,790,160,160
1,10,58,2,242,40,2300,701,250,250
1,5,24,1,983,40,200,200,60,60
2,4,41,5,941,18,350,350,100,100
2,3,35,1,971,40,600,600,150,150
2,6,33,5,961,40,390,390,30,30
1,8,38,6,351,42,2319,1269,500,500
1,6,33,1,421,33,160,160,303,303
1,6,30,5,961,48,950,829,30,30
1,6,50,1,778,6,40,40,400,400
1,6,45,6,971,4,100,100,150,150
2,10,27,6,381,40,850,850,160,160
1,5,58,5,983,32,200,200,600,600
1,6,27,1,983,50,330,330,180,180
1,9,30,6,423,25,1000,1000,1000,1000
2,5,42,1,942,24,1100,1100,30,30
1,10,49,1,942,72,700,550,600,600
1,9,23,6,778,36,240,240,720,720
1,3,40,1,971,48,930,810,50,50
1,11,60,2,234,36,7000,3625,6000,850
1,11,56,1,242,50,3500,3120,6000,4200
2,6,22,6,951,30,150,150,480,480
1,10,35,6,242,47,2300,2000,100,100
1,8,24,6,951,36,180,180,1150,1000
1,6,24,6,961,40,1248,1086,120,120
2,4,39,3,984,77,350,350,280,280
1,6,60,1,766,28,140,140,40,40
2,4,31,1,941,14,160,160,240,240
2,4,43,2,572,35,450,450,300,300
2,9,21,6,931,38,120,120,217,217
2,5,51,2,971,16,100,100,150,150
1,8,42,6,246,40,1800,1566,160,160
2,11,51,2,244,32,4200,2836,300,300
2,10,55,5,239,60,1500,1305,600,600
2,8,50,2,351,40,3300,3165,800,800
2,9,20,6,451,48,950,855,430,430
1,11,61,2,411,40,3200,2824,2100,1854
1,6,18,6,766,15,70,70,300,300
1,4,61,2,971,18,90,90,150,150
1,5,58,1,777,54,180,180,50,50
2,10,61,2,239,60,4000,3480,700,700
2,6,25,1,523,60,35,35,15,15
2,6,30,1,764,16,214,214,30,30
2,8,48,5,952,72,1150,1008,560,560
1,6,52,1,562,48,930,930,450,450
1,10,67,2,235,45,6800,5116,2000,2000
1,10,32,6,364,40,1600,1600,1005,1005
1,6,55,2,971,42,210,210,150,150
2,2,15,6,941,16,40,40,12,12
1,5,25,1,971,32,930,810,75,75
1,6,42,1,971,32,200,200,935,837
1,10,38,6,246,10,400,400,300,300
1,9,60,2,952,48,1100,1030,30,30
2,4,35,5,982,40,585,585,75,75
1,6,47,2,572,48,1020,890,140,140
2,11,55,1,239,16,2500,2175,930,930
2,5,33,5,945,6,400,400,1139,1139
1,8,40,2,778,24,800,800,50,50
2,10,56,4,335,34,3000,2610,1000,1000
2,10,35,1,235,47,5000,3950,3000,2510
2,9,40,6,411,74,700,700,6000,6000
2,10,30,1,239,36,3400,2692,2400,2128
2,5,46,5,522,15,200,200,1818,1818
1,8,23,6,243,30,900,820,140,140
1,10,34,6,323,48,2000,1870,400,400
2,7,23,6,381,40,200,200,30,30
